 Date        time  sm   APmag  S-brt   Illu%            delta      deldot
 2014-Dec-03 10:45  m  -11.78   4.23  88.950 0.00250827863191   0.3191253
 2014-Dec-03 11:00  m  -11.78   4.23  89.017 0.00251020693230   0.3216806
 2014-Dec-03 11:15  m  -11.78   4.23  89.086 0.00251214704759   0.3230521
 2014-Dec-03 11:30  m  -11.79   4.23  89.155 0.00251409184523   0.3232372
 2014-Dec-03 11:45  m  -11.79   4.22  89.226 0.00251603419271   0.3222385
 2014-Dec-03 12:00  m  -11.79   4.22  89.297 0.00251796698592   0.3200629
 2014-Dec-03 12:15  m  -11.79   4.22  89.370 0.00251988317727   0.3167222
 2014-Dec-03 12:30  s  -11.79   4.22  89.444 0.00252177580327   0.3122325
 2014-Dec-03 12:45     -11.80   4.21  89.519 0.00252363801154   0.3066147
 2014-Dec-03 13:00     -11.80   4.21  89.595 0.00252546308717   0.2998936
 2014-Dec-03 13:15     -11.80   4.21  89.671 0.00252724447838   0.2920985
 2014-Dec-03 13:30     -11.80   4.20  89.749 0.00252897582124   0.2832626
 2014-Dec-03 13:45     -11.81   4.20  89.827 0.00253065096357   0.2734230
 2014-Dec-03 14:00 A   -11.81   4.20  89.907 0.00253226398783   0.2626205
 2014-Dec-03 14:15 A   -11.81   4.20  89.987 0.00253380923297   0.2508997
 2014-Dec-03 14:30 N   -11.81   4.19  90.068 0.00253528131517   0.2383081
 2014-Dec-03 14:45 N   -11.82   4.19  90.149 0.00253667514736   0.2248967
 2014-Dec-03 15:00 N   -11.82   4.19  90.231 0.00253798595766   0.2107193
 2014-Dec-03 15:15 C   -11.82   4.18  90.313 0.00253920930644   0.1958325
 2014-Dec-03 15:30 C   -11.83   4.18  90.396 0.00254034110218   0.1802954
 2014-Dec-03 15:45 *   -11.83   4.18  90.480 0.00254137761589   0.1641694
 2014-Dec-03 16:00 *   -11.83   4.17  90.563 0.00254231549428   0.1475179
 2014-Dec-03 16:15 *   -11.84   4.17  90.647 0.00254315177148   0.1304062
 2014-Dec-03 16:30 *   -11.84   4.17  90.731 0.00254388387936   0.1129012
 2014-Dec-03 16:45 *   -11.85   4.16  90.815 0.00254450965635   0.0950712
 2014-Dec-03 17:00 *   -11.85   4.16  90.899 0.00254502735501   0.0769855
 2014-Dec-03 17:15 *   -11.85   4.16  90.983 0.00254543564785   0.0587143
 2014-Dec-03 17:30 *   -11.86   4.15  91.066 0.00254573363194   0.0403285
 2014-Dec-03 17:45 *   -11.86   4.15  91.150 0.00254592083181   0.0218993
 2014-Dec-03 18:00 *   -11.87   4.14  91.233 0.00254599720109   0.0034980
 2014-Dec-03 18:15 *   -11.87   4.14  91.316 0.00254596312246  -0.0148040
 2014-Dec-03 18:30 *   -11.88   4.14  91.398 0.00254581940622  -0.0329360
 2014-Dec-03 18:45 *   -11.88   4.13  91.480 0.00254556728734  -0.0508277
 2014-Dec-03 19:00 *   -11.88   4.13  91.562 0.00254520842107  -0.0684096
 2014-Dec-03 19:15 *   -11.89   4.13  91.642 0.00254474487701  -0.0856135
 2014-Dec-03 19:30 *   -11.89   4.12  91.722 0.00254417913175  -0.1023724
 2014-Dec-03 19:45 *   -11.90   4.12  91.802 0.00254351406014  -0.1186210
